 Fri, 10 Jan 2020 11:24:33  INFO orderbook_data.py order_child_cashier_screen_data [ line:226 ] 测试数据: [{'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '全部终端', 'terminal_name': None, 'terminal_id': None, 'type_source': '全部', 'status': '全部订单'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '全部终端', 'terminal_name': None, 'terminal_id': None, 'type_source': '全部', 'status': '支付成功'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '全部终端', 'terminal_name': None, 'terminal_id': None, 'type_source': '全部', 'status': '退款成功'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '全部终端', 'terminal_name': None, 'terminal_id': None, 'type_source': '微信', 'status': '全部订单'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '全部终端', 'terminal_name': None, 'terminal_id': None, 'type_source': '微信', 'status': '支付成功'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '全部终端', 'terminal_name': None, 'terminal_id': None, 'type_source': '微信', 'status': '退款成功'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '指定终端', 'terminal_name': '收款1号机', 'terminal_id': 'qr_pay:NO_2018122515457307773472', 'type_source': '全部', 'status': '全部订单'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '指定终端', 'terminal_name': '收款1号机', 'terminal_id': 'qr_pay:NO_2018122515457307773472', 'type_source': '全部', 'status': '支付成功'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '指定终端', 'terminal_name': '收款1号机', 'terminal_id': 'qr_pay:NO_2018122515457307773472', 'type_source': '全部', 'status': '退款成功'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '指定终端', 'terminal_name': '收款1号机', 'terminal_id': 'qr_pay:NO_2018122515457307773472', 'type_source': '微信', 'status': '全部订单'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '指定终端', 'terminal_name': '收款1号机', 'terminal_id': 'qr_pay:NO_2018122515457307773472', 'type_source': '微信', 'status': '支付成功'}, {'login_phone': '18971330010', 'login_pwd': '123456', 'main_store_name': '吉野家日式料理店', 'store_name': None, 'store_id': None, 'time_desc': '本月', 'time_start': None, 'time_end': None, 'terminal_type': '指定终端', 'terminal_name': '收款1号机', 'terminal_id': 'qr_pay:NO_2018122515457307773472', 'type_source': '微信', 'status': '退款成功'}]
 Fri, 10 Jan 2020 11:24:33  INFO orderbook_data.py order_child_cashier_screen_data [ line:227 ] 账单筛选测试数据量: 12
 Fri, 10 Jan 2020 11:24:45  INFO basepage.py wait_ele_visible [ line:42 ] 等待 登录页_等待用户名元素可见  元素  ('id', 'com.cashier.jiutongshanghu:id/ed_login_phone') 可见成功。耗时：0:00:01.415000
 Fri, 10 Jan 2020 11:24:46  INFO basepage.py wait_ele_visible [ line:42 ] 等待 登录页_输入用户名  元素  ('id', 'com.cashier.jiutongshanghu:id/ed_login_phone') 可见成功。耗时：0:00:00.074000
 Fri, 10 Jan 2020 11:24:46  INFO basepage.py get_element [ line:79 ] 查找  登录页_输入用户名 元素 ('id', 'com.cashier.jiutongshanghu:id/ed_login_phone') 成功
 Fri, 10 Jan 2020 11:24:46  INFO basepage.py input_text [ line:148 ] 在 登录页_输入用户名 元素 ('id', 'com.cashier.jiutongshanghu:id/ed_login_phone') 上输入文本值：18971330010 成功！
 Fri, 10 Jan 2020 11:24:47  INFO basepage.py wait_ele_visible [ line:42 ] 等待 登录页_输入密码  元素  ('id', 'com.cashier.jiutongshanghu:id/ed_login_password') 可见成功。耗时：0:00:00.600000
 Fri, 10 Jan 2020 11:24:47  INFO basepage.py get_element [ line:79 ] 查找  登录页_输入密码 元素 ('id', 'com.cashier.jiutongshanghu:id/ed_login_password') 成功
 Fri, 10 Jan 2020 11:24:48  INFO basepage.py input_text [ line:148 ] 在 登录页_输入密码 元素 ('id', 'com.cashier.jiutongshanghu:id/ed_login_password') 上输入文本值：123456 成功！
 Fri, 10 Jan 2020 11:24:48  INFO basepage.py wait_ele_visible [ line:42 ] 等待 登录页_点击登录按钮  元素  ('id', 'com.cashier.jiutongshanghu:id/but_login') 可见成功。耗时：0:00:00.619000
 Fri, 10 Jan 2020 11:24:49  INFO basepage.py get_element [ line:79 ] 查找  登录页_点击登录按钮 元素 ('id', 'com.cashier.jiutongshanghu:id/but_login') 成功
 Fri, 10 Jan 2020 11:24:49  INFO basepage.py click_element [ line:121 ] 点击  登录页_点击登录按钮 元素 ('id', 'com.cashier.jiutongshanghu:id/but_login') 成功！
